first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jake,Allen,34,,8474596,1990-08-07,MTL,5,0.900794,0,3.487899,15
Sam,Montembeault,35,,8478470,1996-10-30,MTL,10,0.902857,0,3.108098,22
Cayden,Primeau,30,,8480051,1999-08-11,MTL,4,0.898844,0,3.357583,11
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Devon,Levi,27,,8482221,2001-12-27,BUF,8,0.888889,0,3.319891,19
Ukko-Pekka,Luukkonen,1,,8480045,1999-03-09,BUF,11,0.907643,3,2.610555,24
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Elvis,Merzlikins,90,,8478007,1994-04-13,CBJ,8,0.905,0,3.255438,25
Daniil,Tarasov,40,,8480193,1999-03-27,CBJ,2,0.875472,0,4.086266,8
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Anton,Forsberg,31,,8476341,1992-11-27,OTT,7,0.88862,1,3.34586,16
Joonas,Korpisalo,70,,8476914,1994-04-28,OTT,9,0.886724,0,3.559544,28
Mads,Sogaard,40,,8481544,2000-12-13,OTT,1,0.844828,0,4.571106,2
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Lukas,Dostal,1,,8480843,2000-06-22,ANA,7,0.899701,0,3.5763,21
John,Gibson,36,,8476434,1993-07-14,ANA,8,0.898533,0,3.095122,29
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Petr,Mrazek,34,,8475852,1992-02-14,CHI,12,0.906383,1,3.040511,31
Arvid,Soderblom,40,,8482821,1999-08-19,CHI,2,0.877064,0,3.952025,19
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Mackenzie,Blackwood,29,,8478406,1996-12-09,SJS,6,0.894241,0,3.694596,30
Kaapo,Kahkonen,36,,8478039,1996-08-16,SJS,5,0.899054,0,3.608288,21
